from,to,approx,actual,diff,ratio
建長寺,半僧坊,5.3,4.9,0.4,1.07
東慶寺,浄智寺,5.0,4.9,0.1,1.03
東慶寺,鶴岡八幡宮,30.6,27.4,3.2,1.12
東慶寺,小町通り,36.1,26.6,9.5,1.36
東慶寺,鎌倉国宝館,30.4,28.1,2.3,1.08
東慶寺,源頼朝の墓,35.6,37.4,-1.8,0.95
東慶寺,宝戒寺,38.7,30.8,7.9,1.26
東慶寺,報国寺,56.9,47.5,9.4,1.2
東慶寺,杉本寺,50.2,43.1,7.1,1.16
東慶寺,浄妙寺,55.4,49.0,6.4,1.13
東慶寺,瑞泉寺,57.9,52.7,5.2,1.1
東慶寺,高徳院,48.9,43.2,5.7,1.13
東慶寺,長谷寺,59.8,47.2,12.6,1.27
東慶寺,御霊神社,62.9,48.3,14.6,1.3
東慶寺,鎌倉文学館,49.3,43.4,5.9,1.14
東慶寺,光則寺,58.7,46.8,11.9,1.25
東慶寺,極楽寺,69.7,55.8,13.9,1.25
東慶寺,成就院,68.2,52.6,15.6,1.3
東慶寺,稲村ヶ崎,86.6,60.8,25.8,1.42
東慶寺,七里ヶ浜,96.0,76.1,19.9,1.26
東慶寺,鎌倉高校前駅,110.0,84.8,25.2,1.3
東慶寺,銭洗弁財天宇賀福神社,24.2,19.8,4.4,1.22
東慶寺,佐助稲荷神社,29.4,24.9,4.5,1.18
東慶寺,寿福寺,27.2,19.8,7.4,1.37
東慶寺,葛原岡神社,17.1,14.3,2.8,1.2
東慶寺,妙本寺,47.6,37.8,9.8,1.26
東慶寺,安国論寺,61.3,44.7,16.6,1.37
東慶寺,光明寺,76.7,54.7,22.0,1.4
東慶寺,由比ヶ浜,62.2,44.4,17.8,1.4
東慶寺,荏柄天神社,41.1,39.8,1.3,1.03
東慶寺,半僧坊,23.6,23.8,-0.2,0.99
浄智寺,鶴岡八幡宮,26.9,24.8,2.1,1.09
浄智寺,小町通り,31.4,24.0,7.4,1.31
浄智寺,鎌倉国宝館,26.9,25.5,1.4,1.05
浄智寺,源頼朝の墓,33.0,34.8,-1.8,0.95
浄智寺,宝戒寺,34.9,28.2,6.7,1.24
浄智寺,報国寺,54.0,44.9,9.1,1.2
浄智寺,杉本寺,47.6,40.5,7.1,1.17
浄智寺,浄妙寺,53.2,46.4,6.8,1.15
浄智寺,瑞泉寺,56.7,50.5,6.2,1.12
浄智寺,高徳院,44.3,40.5,3.8,1.09
浄智寺,長谷寺,55.2,44.6,10.6,1.24
浄智寺,御霊神社,58.3,45.7,12.6,1.27
浄智寺,鎌倉文学館,44.4,40.8,3.6,1.09
浄智寺,光則寺,54.2,44.1,10.1,1.23
浄智寺,極楽寺,65.2,53.2,12.0,1.23
浄智寺,成就院,63.6,49.9,13.7,1.27
浄智寺,稲村ヶ崎,81.9,58.2,23.7,1.41
浄智寺,七里ヶ浜,92.1,73.5,18.6,1.25
浄智寺,鎌倉高校前駅,106.8,82.2,24.6,1.3
浄智寺,銭洗弁財天宇賀福神社,19.4,17.2,2.2,1.13
浄智寺,佐助稲荷神社,24.9,22.2,2.7,1.12
浄智寺,寿福寺,22.4,17.2,5.2,1.3
浄智寺,葛原岡神社,12.5,11.7,0.8,1.07
浄智寺,妙本寺,43.3,35.2,8.1,1.23
浄智寺,安国論寺,56.8,42.1,14.7,1.35
浄智寺,光明寺,71.9,52.1,19.8,1.38
浄智寺,由比ヶ浜,57.2,41.7,15.5,1.37
浄智寺,荏柄天神社,38.8,37.2,1.6,1.04
浄智寺,半僧坊,23.9,22.4,1.5,1.07
鶴岡八幡宮,小町通り,13.1,8.9,4.2,1.47
